en_query	cs_query	en_parse	cs_parse	domain
play 80s only	sirf 80s bajaayen	[IN:PLAY_MUSIC play [SL:MUSIC_GENRE 80s ] only ]	[IN:PLAY_MUSIC sirf [SL:MUSIC_GENRE 80s ] bajaayen ]	music
Pause this song , please .	please , is song ko rok den .	[IN:PAUSE_MUSIC Pause this [SL:MUSIC_TYPE song ] , please . ]	[IN:PAUSE_MUSIC please , is [SL:MUSIC_TYPE song ] ko rok den . ]	music
Tell me about the weather tonight at 6 ?	Mujhe aaj raat 6 baje ke mausam ke baare me batao ?	[IN:GET_WEATHER Tell me about the weather [SL:DATE_TIME tonight at 6 ] ? ]	[IN:GET_WEATHER Mujhe [SL:DATE_TIME aaj raat 6 baje ] ke mausam ke baare me batao ? ]	weather
Yesterday the weather man said that it might rain today . How is the weather today ?	kal weather man ne kaha tha ke aaj baarish hosakti hai . aaj weather kaisa hai ?	[IN:GET_WEATHER [SL:DATE_TIME Yesterday ] the weather man said that it might [SL:WEATHER_ATTRIBUTE rain ] today . How is the weather [SL:DATE_TIME today ] ? ]	[IN:GET_WEATHER [SL:DATE_TIME kal ] weather man ne kaha tha ke aaj [SL:WEATHER_ATTRIBUTE baarish ] hosakti hai . [SL:DATE_TIME aaj ] weather kaisa hai ? ]	weather
Schedule 15 minute timer at 1 : 45 pm	1 : 45 pm ko 15 minute ka timer schedule karen	[IN:CREATE_TIMER Schedule [SL:DATE_TIME 15 minute ] [SL:METHOD_TIMER timer ] [SL:DATE_TIME at 1 : 45 pm ] ]	[IN:CREATE_TIMER [SL:DATE_TIME 1 : 45 pm ko ] [SL:DATE_TIME 15 minute ] ka [SL:METHOD_TIMER timer ] schedule karen ]	timer
what ' s the humidity	humidity kitni hai	[IN:GET_WEATHER what ' s the [SL:WEATHER_ATTRIBUTE humidity ] ]	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE humidity ] kitni hai ]	weather
set a reminder for 3 pm to watch the baseball game	baseball game dekhne ke liye 3 pm ka ek reminder set kare	[IN:CREATE_REMINDER set a reminder [SL:DATE_TIME for 3 pm ] to [SL:TODO watch the baseball game ] ]	[IN:CREATE_REMINDER [SL:TODO baseball game dekhne ke liye ] [SL:DATE_TIME 3 pm ka ] ek reminder set kare ]	reminder
play 80s music	80s ke music bajao	[IN:PLAY_MUSIC play [SL:MUSIC_GENRE 80s ] [SL:MUSIC_TYPE music ] ]	[IN:PLAY_MUSIC [SL:MUSIC_GENRE 80s ] ke [SL:MUSIC_TYPE music ] bajao ]	music
Show me the set alarms please .	please mujhe set kiye huwe alarms dikhao .	[IN:GET_ALARM Show me the set alarms please . ]	[IN:GET_ALARM please mujhe set kiye huwe alarms dikhao . ]	alarm
Resume my work timer in 10 minutes .	10 minutes me mera work timer fir se shuru karo	[IN:RESUME_TIMER Resume my work [SL:METHOD_TIMER timer ] [SL:DATE_TIME in 10 minutes ] . ]	[IN:RESUME_TIMER [SL:DATE_TIME 10 minutes me ] mera work [SL:METHOD_TIMER timer ] fir se shuru karo ]	timer
should i wear shorts today	kya aaj mujhe shorts pehenne chahiye	[IN:GET_WEATHER should i wear [SL:WEATHER_ATTRIBUTE shorts ] [SL:DATE_TIME today ] ]	[IN:GET_WEATHER kya [SL:DATE_TIME aaj ] mujhe [SL:WEATHER_ATTRIBUTE shorts ] pehenne chahiye ]	weather
set alarm for 10 pm	raat 10 baje ke liye alarm set kardo	[IN:CREATE_ALARM set alarm [SL:DATE_TIME for 10 pm ] ]	[IN:CREATE_ALARM [SL:DATE_TIME raat 10 baje ke liye ] alarm set kardo ]	alarm
should i bring an umbrella ?	kya mujhe umbrella laana chahiye ?	[IN:GET_WEATHER should i bring an [SL:WEATHER_ATTRIBUTE umbrella ] ? ]	[IN:GET_WEATHER kya mujhe [SL:WEATHER_ATTRIBUTE umbrella ] laana chahiye ? ]	weather
set a reminder for the doctor	doctor ke liye reminder set karen	[IN:CREATE_REMINDER set a reminder for [SL:TODO the doctor ] ]	[IN:CREATE_REMINDER [SL:TODO doctor ] ke liye reminder set karen ]	reminder
Will it rain this evening >	kya aaj sham baarish hogi	[IN:GET_WEATHER Will it [SL:WEATHER_ATTRIBUTE rain ] [SL:DATE_TIME this evening ] > ]	[IN:GET_WEATHER kya [SL:DATE_TIME aaj sham ] [SL:WEATHER_ATTRIBUTE baarish ] hogi ]	weather
Are the skies sunny for tomorrow	kya kal ke liye aasmaan sunny hai	[IN:GET_WEATHER Are the skies [SL:WEATHER_ATTRIBUTE sunny ] [SL:DATE_TIME for tomorrow ] ]	[IN:GET_WEATHER kya [SL:DATE_TIME kal ke liye ] aasmaan [SL:WEATHER_ATTRIBUTE sunny ] hai ]	weather
Play the next song in the list	list me se agla song bajao	[IN:SKIP_TRACK_MUSIC Play the [SL:ORDINAL next ] [SL:MUSIC_TYPE song ] in the list ]	[IN:SKIP_TRACK_MUSIC list me se [SL:ORDINAL agla ] [SL:MUSIC_TYPE song ] bajao ]	music
Open What ' sApp and send text .	What ' sApp ko open kare aur text bheje .	[IN:SEND_MESSAGE Open [SL:RESOURCE What ' sApp ] and send text . ]	[IN:SEND_MESSAGE [SL:RESOURCE What ' sApp ] ko open kare aur text bheje . ]	messaging
Is it quicker to take highway or back roads to the apple harvest fest in southington ?	southington me apple harvest fest ke liye highway lena zyada tezz hoga ya back roads ?	[IN:UNSUPPORTED_NAVIGATION Is it quicker to take highway or back roads to the apple harvest fest in southington ? ]	[IN:UNSUPPORTED_NAVIGATION southington me apple harvest fest ke liye highway lena zyada tezz hoga ya back roads ? ]	navigation
Can I listen to a song by Bush	kya mai Bush ka ek song sun sakta hun	[IN:PLAY_MUSIC Can I listen to a [SL:MUSIC_TYPE song ] by [SL:MUSIC_ARTIST_NAME Bush ] ]	[IN:PLAY_MUSIC kya mai [SL:MUSIC_ARTIST_NAME Bush ] ka ek [SL:MUSIC_TYPE song ] sun sakta hun ]	music
Remind everyone in the family group that we have game night Thursday at 7 pm .	family group me sabko yaad dilaye ke hamare pas thursday sham 7 baje ko game night hai	[IN:CREATE_REMINDER Remind everyone in the [SL:PERSON_REMINDED family ] group that we have [SL:TODO game night ] [SL:DATE_TIME Thursday at 7 pm ] . ]	[IN:CREATE_REMINDER [SL:PERSON_REMINDED family ] group me sabko yaad dilaye ke hamare pas [SL:DATE_TIME thursday sham 7 baje ko ] [SL:TODO game night ] hai ]	reminder
set my alarm for 11 pm tonight	aaj raat 11 baje ke liye mera alarm set karen	[IN:CREATE_ALARM set my alarm [SL:DATE_TIME for 11 pm tonight ] ]	[IN:CREATE_ALARM [SL:DATE_TIME aaj raat 11 baje ke liye ] mera alarm set karen ]	alarm
when is the next blizz con event	agla blizz con event kab hai	[IN:GET_EVENT when is the [SL:ORDINAL next ] [SL:CATEGORY_EVENT blizz con event ] ]	[IN:GET_EVENT [SL:ORDINAL agla ] [SL:CATEGORY_EVENT blizz con event ] kab hai ]	event
Give me an alarm for 8 : 45 and 9 : 17 on Tuesday	mujhe Tuesday ko 8 : 45 aur 9 : 17 ke liye alarm de	[IN:CREATE_ALARM Give me an alarm [SL:DATE_TIME for 8 : 45 and 9 : 17 on Tuesday ] ]	[IN:CREATE_ALARM mujhe [SL:DATE_TIME Tuesday ko 8 : 45 aur 9 : 17 ke liye ] alarm de ]	alarm
Remind me at 1 . 00PM	mujhe dopahar 1 : 00 baje yaad dilao	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] [SL:DATE_TIME at 1 . 00PM ] ]	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mujhe ] [SL:DATE_TIME dopahar 1 : 00 baje ] yaad dilao ]	reminder
brunch specials near me this weekend	is weekend mere aas pas brunch specials	[IN:GET_EVENT [SL:CATEGORY_EVENT brunch specials ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS near ] [SL:LOCATION_USER me ] ] ] [SL:DATE_TIME this weekend ] ]	[IN:GET_EVENT [SL:DATE_TIME is weekend ] [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER mere ] [SL:SEARCH_RADIUS aas pas ] ] ] [SL:CATEGORY_EVENT brunch specials ] ]	event
How far is Galveston from San Antonio ?	San Antonio se Galveston me kitni doori hai ?	[IN:GET_DISTANCE How far is [SL:DESTINATION Galveston ] from [SL:SOURCE San Antonio ] ? ]	[IN:GET_DISTANCE [SL:SOURCE San Antonio ] se [SL:DESTINATION Galveston ] me kitni doori hai ? ]	navigation
What will be the weather at noon ?	dopahar ke samay mausam kaisa rahega ?	[IN:GET_WEATHER What will be the weather [SL:DATE_TIME at noon ] ? ]	[IN:GET_WEATHER [SL:DATE_TIME dopahar ke samay ] mausam kaisa rahega ? ]	weather
holiday happenings	holiday happenings	[IN:GET_EVENT [SL:CATEGORY_EVENT holiday happenings ] ]	[IN:GET_EVENT [SL:CATEGORY_EVENT holiday happenings ] ]	event
Temperature shanghai this weekend C	Is weekend ko shangai ka temperature C me	[IN:GET_WEATHER Temperature [SL:LOCATION shanghai ] [SL:DATE_TIME this weekend ] [SL:WEATHER_TEMPERATURE_UNIT C ] ]	[IN:GET_WEATHER [SL:DATE_TIME Is weekend ] ko [SL:LOCATION shangai ] ka temperature [SL:WEATHER_TEMPERATURE_UNIT C ] me ]	weather
Create an alarm for Fridays at 5 pm	Friday 5 baje ke liye alarm create kare	[IN:CREATE_ALARM Create an alarm [SL:DATE_TIME_RECURRING for Fridays at 5 pm ] ]	[IN:CREATE_ALARM [SL:DATE_TIME_RECURRING Friday 5 baje ke liye ] alarm create kare ]	alarm
Restart the timer in 5 minutes	5 minutes me timer ko phir se shuru karo	[IN:RESTART_TIMER Restart the [SL:METHOD_TIMER timer ] [SL:DATE_TIME in 5 minutes ] ]	[IN:RESTART_TIMER [SL:DATE_TIME 5 minutes me ] [SL:METHOD_TIMER timer ] ko phir se shuru karo ]	timer
Play the top 10 best rap songs	top 10 sabse ache rap songs bajao	[IN:PLAY_MUSIC Play the top 10 best [SL:MUSIC_GENRE rap ] [SL:MUSIC_TYPE songs ] ]	[IN:PLAY_MUSIC top 10 sabse ache [SL:MUSIC_GENRE rap ] [SL:MUSIC_TYPE songs ] bajao ]	music
Delete the birthday party reminder .	birthday party reminder ko hata do .	[IN:DELETE_REMINDER Delete the [SL:TODO birthday party ] reminder . ]	[IN:DELETE_REMINDER [SL:TODO birthday party ] reminder ko hata do . ]	reminder
What is the chance of rain today ?	Aaj baarish hone ka kya chance hai ?	[IN:GET_WEATHER What is the chance of [SL:WEATHER_ATTRIBUTE rain ] [SL:DATE_TIME today ] ? ]	[IN:GET_WEATHER [SL:DATE_TIME Aaj ] [SL:WEATHER_ATTRIBUTE baarish ] hone ka kya chance hai ? ]	weather
Create a new go to sleep alarm .	ek naya go to sleep alarm create kare	[IN:CREATE_ALARM Create a new [SL:ALARM_NAME go to sleep ] alarm . ]	[IN:CREATE_ALARM ek naya [SL:ALARM_NAME go to sleep ] alarm create kare ]	alarm
Set an alarm for 5 titled work	work ke naam se 5 baje ke liye ek alarm set karen	[IN:CREATE_ALARM Set an alarm [SL:DATE_TIME for 5 ] titled [SL:ALARM_NAME work ] ]	[IN:CREATE_ALARM [SL:ALARM_NAME work ] ke naam se [SL:DATE_TIME 5 baje ke liye ] ek alarm set karen ]	alarm
What is the weather going to be this weekend ?	is weekend mousam kaisa rahega ?	[IN:GET_WEATHER What is the weather going to be [SL:DATE_TIME this weekend ] ? ]	[IN:GET_WEATHER [SL:DATE_TIME is weekend ] mousam kaisa rahega ? ]	weather
what ' s the weather going to be like in 3 days	3 din me mausam kaisa hone wala hai	[IN:GET_WEATHER what ' s the weather going to be like [SL:DATE_TIME in 3 days ] ]	[IN:GET_WEATHER [SL:DATE_TIME 3 din me ] mausam kaisa hone wala hai ]	weather
please play christmas music	please christmas music bajao	[IN:PLAY_MUSIC please play [SL:MUSIC_GENRE christmas ] [SL:MUSIC_TYPE music ] ]	[IN:PLAY_MUSIC please [SL:MUSIC_GENRE christmas ] [SL:MUSIC_TYPE music ] bajao ]	music
Tell him to meet me at 5 .	Use mujhse 5 baje milne ke liye kaho .	[IN:SEND_MESSAGE Tell [SL:RECIPIENT him ] to [SL:CONTENT_EXACT meet me at 5 ] . ]	[IN:SEND_MESSAGE [SL:RECIPIENT Use ] [SL:CONTENT_EXACT mujhse 5 baje milne ] ke liye kaho . ]	messaging
when am i done with these weights	jab mai is weights se done hojaungi	[IN:UNSUPPORTED_TIMER when am i done with these weights ]	[IN:UNSUPPORTED_TIMER jab mai is weights se done hojaungi ]	timer
Delete previous timer and add new one .	Pichla timer hatao aur ek naya wala add karo .	[IN:DELETE_TIMER Delete previous [SL:METHOD_TIMER timer ] and add new one . ]	[IN:DELETE_TIMER Pichla [SL:METHOD_TIMER timer ] hatao aur ek naya wala add karo . ]	timer
List all concerts at Verizon Theater this weekend	Is weekend ko Verizon Theater me hone wale saare concerts list karo	[IN:GET_EVENT List all [SL:CATEGORY_EVENT concerts ] at [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP Verizon Theater ] ] ] [SL:DATE_TIME this weekend ] ]	[IN:GET_EVENT [SL:DATE_TIME Is weekend ] ko [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP Verizon Theater ] ] ] me hone wale saare [SL:CATEGORY_EVENT concerts ] list karo ]	event
what movies are playing friday night at amc universal	amc universal mei friday night ko kaunse movies chalne wale hai	[IN:GET_EVENT what [SL:CATEGORY_EVENT movies ] are playing [SL:DATE_TIME friday night ] at [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP amc universal ] ] ] ]	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP amc universal ] ] ] mei [SL:DATE_TIME friday night ] ko kaunse [SL:CATEGORY_EVENT movies ] chalne wale hai ]	event
When is the first frost predicted for the coming fall	Aane wale fall ke liye pehla frost kab predict kiya gaya tha	[IN:GET_WEATHER When is the first [SL:WEATHER_ATTRIBUTE frost ] predicted for the coming [SL:DATE_TIME fall ] ]	[IN:GET_WEATHER Aane wale [SL:DATE_TIME fall ] ke liye pehla [SL:WEATHER_ATTRIBUTE frost ] kab predict kiya gaya tha ]	weather
SET MONTHLY ALARM TO PAY GYM MEMBERSHIP ON 3RD OF EVERY MONTH	Monthly alarm set karo gym membership ke liye pay karne har mahine ki 3rd ko	[IN:CREATE_ALARM SET [SL:PERIOD MONTHLY ] ALARM TO [SL:ALARM_NAME PAY GYM MEMBERSHIP ] [SL:DATE_TIME_RECURRING ON 3RD OF EVERY MONTH ] ]	[IN:CREATE_ALARM [SL:PERIOD Monthly ] alarm set karo [SL:ALARM_NAME gym membership ke liye pay karne ] [SL:DATE_TIME_RECURRING har mahine ki 3rd ko ] ]	alarm
Send a message in Facebook to Nataly saying she looks beautiful .	Facebook par Nataly ko message bheje kehte huye ki she looks beautiful	[IN:SEND_MESSAGE Send a message in [SL:RESOURCE Facebook ] to [SL:RECIPIENT Nataly ] saying [SL:CONTENT_EXACT she looks beautiful ] . ]	[IN:SEND_MESSAGE [SL:RESOURCE Facebook ] par [SL:RECIPIENT Nataly ] ko message bheje kehte huye ki [SL:CONTENT_EXACT she looks beautiful ] ]	messaging
Set alarms for Wednesday at 7 . 30am and 8 . 00am	Wednesday ko 7 : 30 am aur 8 : 00 am ke liye alarms set karen	[IN:CREATE_ALARM Set alarms [SL:DATE_TIME for Wednesday at 7 . 30am and 8 . 00am ] ]	[IN:CREATE_ALARM [SL:DATE_TIME Wednesday ko 7 : 30 am aur 8 : 00 am ke liye ] alarms set karen ]	alarm
Show me any alarms that are set on Fridays .	Mujhe koi b alarms dikhao jo fridays ko set kiye gaye ho	[IN:GET_ALARM Show me any alarms that are set [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME on Fridays ] ] ] . ]	[IN:GET_ALARM Mujhe koi b alarms dikhao jo [SL:ALARM_NAME [IN:GET_TIME [SL:DATE_TIME fridays ko ] ] ] set kiye gaye ho ]	alarm
If I take the train will I make my doctors appointment on time ?	agar mai train leta hoon toh kya mai doctor ke appointment ke liye time se pahuch jaunga ?	[IN:UNSUPPORTED_NAVIGATION If I take the train will I make my doctors appointment on time ? ]	[IN:UNSUPPORTED_NAVIGATION agar mai train leta hoon toh kya mai doctor ke appointment ke liye time se pahuch jaunga ? ]	navigation
Is Turkey having a heatwave ?	Kya Turkey me heatwave chal rahi hai ?	[IN:GET_WEATHER Is [SL:LOCATION Turkey ] having a [SL:WEATHER_ATTRIBUTE heatwave ] ? ]	[IN:GET_WEATHER Kya [SL:LOCATION Turkey ] me [SL:WEATHER_ATTRIBUTE heatwave ] chal rahi hai ? ]	weather
Set alarm for every 30 minutes .	har 30 minutes ke liye alarm set kare	[IN:CREATE_ALARM Set alarm for [SL:PERIOD every 30 minutes ] . ]	[IN:CREATE_ALARM [SL:PERIOD har 30 minutes ke liye ] alarm set kare ]	alarm
remind me to pick up the groceries at 5 pm tonight	Aaj raat 5 pm ko mujhe groceries lene ke liye yaad dilaayen	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED me ] to [SL:TODO pick up the groceries ] [SL:DATE_TIME at 5 pm tonight ] ]	[IN:CREATE_REMINDER [SL:DATE_TIME Aaj raat 5 pm ko ] [SL:PERSON_REMINDED mujhe ] [SL:TODO groceries lene ] ke liye yaad dilaayen ]	reminder
Can I hear some jazz music right now	kya mai abhi kuch jazz music sun sakta hun	[IN:PLAY_MUSIC Can I hear some [SL:MUSIC_GENRE jazz ] [SL:MUSIC_TYPE music ] right now ]	[IN:PLAY_MUSIC kya mai abhi kuch [SL:MUSIC_GENRE jazz ] [SL:MUSIC_TYPE music ] sun sakta hun ]	music
Remind mom to go to her doctors appointment at 9 am tomorrow .	mom ko kal subah 9 bajhe unke doctor ke appointment par jane ke liye yaad dilaye	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED [IN:GET_CONTACT [SL:TYPE_RELATION mom ] ] ] to [SL:TODO go to her doctors appointment ] [SL:DATE_TIME at 9 am tomorrow ] . ]	[IN:CREATE_REMINDER [SL:PERSON_REMINDED [IN:GET_CONTACT [SL:TYPE_RELATION mom ] ] ] ko [SL:DATE_TIME kal subah 9 bajhe ] [SL:TODO unke doctor ke appointment par jane ke liye ] yaad dilaye ]	reminder
play more songs like this one	is tarah ke aur songs play karo	[IN:PLAY_MUSIC play more [SL:MUSIC_TYPE songs ] like this one ]	[IN:PLAY_MUSIC is tarah ke aur [SL:MUSIC_TYPE songs ] play karo ]	music
What speed are the winds going today ?	aaj hawayein kitni tezi se chal rahi hai ?	[IN:GET_WEATHER What speed are the [SL:WEATHER_ATTRIBUTE winds ] going [SL:DATE_TIME today ] ? ]	[IN:GET_WEATHER [SL:DATE_TIME aaj ] [SL:WEATHER_ATTRIBUTE hawayein ] kitni tezi se chal rahi hai ? ]	weather
send message to lynette asking her what she bought gabby for the bridal shower	lynette ko message bhejkar pucho ki what she bought gabby for the bridal shower	[IN:SEND_MESSAGE send message to [SL:RECIPIENT lynette ] asking her [SL:CONTENT_EXACT what she bought gabby for the bridal shower ] ]	[IN:SEND_MESSAGE [SL:RECIPIENT lynette ] ko message bhejkar pucho ki [SL:CONTENT_EXACT what she bought gabby for the bridal shower ] ]	messaging
can you suspend the timer	kya aap timer ko suspend karsakte hai	[IN:PAUSE_TIMER can you suspend [SL:METHOD_TIMER the timer ] ]	[IN:PAUSE_TIMER kya aap [SL:METHOD_TIMER timer ] ko suspend karsakte hai ]	timer
I need to set a reminder or Tuesday	mujhe Tuesday ke liye reminder set karne ki zarurat hai	[IN:CREATE_REMINDER [SL:PERSON_REMINDED I ] need to set a reminder [SL:DATE_TIME or Tuesday ] ]	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mujhe ] [SL:DATE_TIME Tuesday ke liye ] reminder set karne ki zarurat hai ]	reminder
whats fun to do tomorrow in bayside	kal bayside mei kya mazedaar chizein hai karne ke liye	[IN:GET_EVENT whats fun to do [SL:DATE_TIME tomorrow ] in [SL:LOCATION bayside ] ]	[IN:GET_EVENT [SL:DATE_TIME kal ] [SL:LOCATION bayside ] mei kya mazedaar chizein hai karne ke liye ]	event
